Ada, Facebook, 8F8HUi, USA, 2008, Inf
Bob, IBM, LLL543, Germany, 1989, 1998
Will, Google, 567890776, Germany, 1990, 2014
Bob, Google, 654322123, India, 2004, Inf
Ali, Intel, SAW432, India, 1998, 2016
Bee, IBM, GGG123, Canada, 1998, Inf
Bob, VolksWagon, SAW432, France, 2010, 2017
Jo, VolksWagon, 567890776, India, 1983, 2000
Ali, VolksWagon, 8F8HUi, India, 1989, Inf
Lee, VolksWagon, 14228, France, 1973, 1994
Will, Google, 764KHE, India, 1983, 2012
Bee, Facebook, SAW432, India, 1999, 2015
Will, Google, 98JHDR, France, 1993, Inf
Bob, Intel, SAW432, Canada, 1981, Inf
Ed, Intel, 8F8HUi, France, 1972, 2012
Bill, ALD, H3H 11Q, France, 1990, 1995
Bob, Intel, LLL543, France, 1969, Inf
Bill, ALD, 765HSQ, France, 1982, Inf
Ada, Facebook, 98JHDR, Germany, 1999, Inf
Bill, IBM, 14221, India, 1975, 2011
