Bob, IBM, 999HCS, Canada, 1963, Inf
Bee, IBM, 567890776, USA, 2008, 2012
Jo, Google, 71653452, Canada, 2015, Inf
Ada, IBM, ATT HVX, India, 2001, 2003
Rob, VolksWagon, HQW 234, Canada, 1984, Inf
Bill, Facebook, YTR IQW, India, 1984, 1998
Lee, Intel, 456789, India, 1973, Inf
Jo, Intel, 654322123, USA, 1982, Inf
Jo, Google, YTR IQW, USA, 2015, 2018
Ali, IBM, SAW432, USA, 1966, Inf
Jo, Google, HQW 234, Canada, 2005, Inf
Lee, ALD, YTR IQW, France, 1989, Inf
Will, VolksWagon, 8F8HUi, USA, 2016, 2018
Will, ALD, 8F8HUi, Canada, 1994, 2007
Ada, ALD, ATT HVX, Canada, 2002, 2016
Jo, Google, 14221, France, 1982, Inf
Bob, Google, 98JHDR, India, 1963, 1971
Will, VolksWagon, H3H 11Q, France, 2000, Inf
Ali, Google, HQW 234, Canada, 2009, 2012
Ada, Intel, 764KHE, USA, 1970, Inf
Ada, Google, GGG123, USA, 1992, 2019
Ed, Google, 71653452, India, 2006, Inf
Ada, Intel, YTR IQW, Germany, 2006, 2013
Bill, VolksWagon, 999HCS, India, 2010, 2013
Rob, Intel, 999HCS, India, 1961, Inf
Rob, Facebook, SAW432, France, 1971, Inf
Jo, VolksWagon, GGG123, France, 1996, 2014
Bee, Intel, SAW432, USA, 1973, 1997
Rob, Facebook, 999HCS, India, 1999, Inf
Bee, ALD, YTR IQW, USA, 2002, 2004
Ada, ALD, 14228, Canada, 2000, 2011
Ed, IBM, 123HDA, Germany, 1991, 2013
Rob, Intel, 765HSQ, Canada, 1973, Inf
Bob, IBM, 654322123, Canada, 2005, 2015
Ali, IBM, YTR IQW, USA, 1966, 2019
Will, IBM, 764KHE, USA, 1968, 2010
Ed, Intel, 8F8HUi, USA, 2011, 2011
Ed, IBM, 98JHDR, France, 1976, Inf
Will, IBM, 14228, USA, 1986, Inf
Lee, Google, 123HDA, USA, 1987, Inf
Rob, Google, YTR IQW, India, 1999, Inf
Ed, Intel, 8F8HUi, Germany, 1972, Inf
Will, Google, YTR IQW, India, 2000, Inf
Lee, Intel, H2Q 1XJ, India, 2005, Inf
Ed, IBM, LLL543, Canada, 2009, Inf
Bee, VolksWagon, 14226, Canada, 1976, 2019
