Bob, Facebook, 98JHDR, France, 1989, 1999
Ada, IBM, ATT HVX, Germany, 1976, 1978
Rob, IBM, SAW432, France, 1979, 1993
Bee, Intel, 14221, Canada, 2017, 2019
Ada, Facebook, 999HCS, Canada, 2012, 2017
Ed, IBM, 764KHE, France, 1968, 1982
Bee, ALD, 764KHE, Germany, 2018, 2018
Will, Intel, H2Q 1XJ, Germany, 1989, 2001
Rob, VolksWagon, 654322123, Germany, 1974, 1981
Ada, Google, 764KHE, Canada, 2014, 2018
Bill, VolksWagon, ATT HVX, Canada, 2007, 2010
Bob, Facebook, ATT HVX, Germany, 2005, 2013
Ali, Intel, 764KHE, Canada, 1988, 2000
Bob, VolksWagon, 8F8HUi, USA, 1997, 2018
Bee, Facebook, 980LGD, India, 1988, 1993
Rob, Facebook, GGG123, Canada, 1996, 2005
Rob, ALD, SAW432, Canada, 1971, 1973
Jo, Google, 980LGD, Canada, 2018, 2018
Ed, Facebook, 8F8HUi, India, 1999, 2004
Will, ALD, ATT HVX, France, 1964, 2012
Rob, VolksWagon, 456789, Canada, 2017, 2019
Ada, Google, 654322123, Canada, 1972, 1993
Bill, VolksWagon, 14226, Germany, 2003, 2012
Lee, Google, YTR IQW, USA, 1998, 2010
Bob, ALD, 980LGD, Canada, 1979, 2000
Jo, ALD, 980LGD, USA, 2004, 2019
Bee, IBM, GGG123, USA, 1986, 1992
Ed, IBM, H2Q 1XJ, USA, 2018, 2018
Ed, Intel, 764KHE, Germany, 1999, 2012
Jo, ALD, 123HDA, France, 1980, 1990
Rob, Google, 71653452, India, 1994, 2012
Ali, IBM, YTR IQW, Germany, 1966, 2011
Bill, Facebook, 999HCS, USA, 2002, 2018
Lee, VolksWagon, 980LGD, USA, 1976, 2014
Ali, Facebook, SAW432, Canada, 1991, 2008
Jo, ALD, 8F8HUi, Germany, 1974, 2013
Bee, VolksWagon, 8F8HUi, USA, 1981, 2015
Ada, IBM, H2Q 1XJ, France, 1986, 1991
Rob, Intel, SAW432, India, 1978, 2006
Bill, ALD, 980LGD, Germany, 1993, 1994
Bill, ALD, 98JHDR, Germany, 1991, 2016
Lee, Google, 980LGD, Germany, 2016, 2017
Bee, VolksWagon, SAW432, USA, 1979, 2006
Ada, IBM, 14226, India, 2005, 2019
Bee, Intel, 567890776, Canada, 1988, 1989
Jo, Facebook, 98JHDR, Canada, 1965, 1979
Ali, Facebook, 567890776, France, 1986, 1997
Ali, VolksWagon, ATT HVX, Germany, 1972, 1995
Rob, ALD, 14226, USA, 1966, 1972
Rob, Facebook, 14221, India, 1992, 2006
Rob, Facebook, 567890776, France, 1980, 1981
Rob, Facebook, 567890776, Germany, 2004, 2012
Jo, ALD, 456789, France, 1961, 2010
Will, IBM, ATT HVX, USA, 1991, 2018
Ada, VolksWagon, HQW 234, USA, 2017, 2017
Bob, Facebook, 14226, India, 1973, 1984
Bob, Facebook, HQW 234, USA, 2001, 2015
Bee, Google, 71653452, USA, 1961, 2012
Ada, IBM, 98JHDR, USA, 2018, 2018
Bee, ALD, 456789, Canada, 2008, 2016
Ada, Intel, 98JHDR, India, 1998, 2005
Ada, IBM, 980LGD, Canada, 2005, 2016
Bill, Facebook, 765HSQ, France, 2011, 2015
Ali, VolksWagon, 98JHDR, USA, 1982, 2011
Lee, VolksWagon, 98JHDR, Canada, 1998, 2003
Bill, ALD, 123HDA, France, 1960, 1984
Will, ALD, 98JHDR, USA, 1969, 1989
Jo, Intel, 980LGD, USA, 2000, 2006
Bill, Intel, 567890776, France, 2013, 2019
Ed, IBM, LLL543, India, 2007, 2010
Ada, ALD, HQW 234, India, 1984, 2015
