Bee, ALD, 456789, France, 1984, 1990
Rob, Intel, GGG123, Germany, 1990, 2001
Bee, IBM, HQW 234, India, 1993, 2007
Bill, IBM, 98JHDR, Canada, 1983, 2014
Rob, VolksWagon, 765HSQ, France, 2007, 2017
Will, Intel, GGG123, Germany, 1967, 1989
Jo, ALD, 980LGD, Canada, 1980, 1981
Rob, VolksWagon, 980LGD, Germany, 1974, 2005
Rob, ALD, GGG123, Germany, 2001, 2008
Jo, ALD, 71653452, Canada, 1963, 2001
Jo, IBM, 8F8HUi, Canada, 1982, 2000
Bob, Google, 123HDA, Germany, 1969, 1975
Bee, VolksWagon, H3H 11Q, Canada, 2010, 2010
Rob, Intel, 567890776, Canada, 1987, 2004
Jo, ALD, 999HCS, USA, 1974, 1987
Bee, Google, H3H 11Q, Canada, 1964, 2004
Will, Facebook, 567890776, Germany, 1982, 2014
Bee, ALD, 14226, Germany, 1968, 1987
Bob, VolksWagon, 14226, Canada, 1996, 2018
Rob, IBM, SAW432, USA, 1982, 2011
